V04002 V01000 V04001 V12212 V12211 V12001 V13011
1 57077 1957 -47 26 -17 210 
2 57077 1957 -47 46 -8 52 
3 57077 1957 8 137 61 191 
4 57077 1957 75 199 131 807 
5 57077 1957 108 221 159 918 
6 57077 1957 32766 280 214 878 
7 57077 1957 32766 298 239 3166 
8 57077 1957 185 306 238 222 
9 57077 1957 115 241 171 184 
10 57077 1957 61 205 123 414 
11 57077 1957 37 149 81 330 
12 57077 1957 -14 92 29 56 
1 57077 1958 -57 49 -15 58 
2 57077 1958 -36 107 24 2 
3 57077 1958 24 162 83 400 
4 57077 1958 85 190 129 1034 
5 57077 1958 113 222 168 1279 
6 57077 1958 170 278 221 1420 
7 57077 1958 210 288 243 4752 
8 57077 1958 182 262 216 1960 
9 57077 1958 131 243 180 833 
10 57077 1958 68 179 115 845 
11 57077 1958 22 111 59 592 
12 57077 1958 -20 101 28 194 
1 57077 1959 -53 41 -13 101 
2 57077 1959 -16 60 15 305 
3 57077 1959 30 136 77 527 
4 57077 1959 82 207 141 182 
5 57077 1959 111 217 159 846 
6 57077 1959 169 283 221 1669 
7 57077 1959 209 323 261 1878 
8 57077 1959 202 309 248 1423 
9 57077 1959 127 253 181 483 
10 57077 1959 90 222 145 565 
11 57077 1959 20 117 60 291 
12 57077 1959 -25 60 6 165 
1 57077 1960 -41 78 6 29 
2 57077 1960 -8 137 52 116 
3 57077 1960 34 137 77 561 
4 57077 1960 61 185 119 654 
5 57077 1960 105 233 165 254 
6 57077 1960 176 303 236 505 
7 57077 1960 197 290 235 2577 
8 57077 1960 182 273 221 1237 
9 57077 1960 135 245 182 1158 
10 57077 1960 74 180 119 539 
11 57077 1960 20 121 62 221 
12 57077 1960 -37 78 8 163 
1 57077 1961 -47 65 -1 75 
2 57077 1961 -18 102 33 13 
3 57077 1961 27 125 71 423 
4 57077 1961 85 211 144 546 
5 57077 1961 115 254 181 864 
6 57077 1961 181 283 227 1461 
7 57077 1961 208 317 255 567 
8 57077 1961 195 292 237 927 
