Year,1,2,3,4,5,6,7,8,9,10,11,12
1958,49,107,162,190,222,278,288,262,243,179,111,101
1959,41,60,136,207,217,283,323,309,253,222,117,60
1960,78,137,137,185,233,303,290,273,245,180,121,78
1961,65,102,125,211,254,283,317,292,237,161,129,75
1962,55,106,153,194,257,294,310,275,241,182,97,94
1963,68,102,140,152,218,292,300,278,218,206,137,99
1964,38,3,126,170,214,289,286,287,205,161,139,79
1965,80,85,131,180,263,301,293,279,255,197,146,80
1966,89,137,151,196,232,304,319,305,234,198,149,51
1967,67,61,133,176,244,304,297,309,226,199,84,52
1968,55,62,155,205,237,311,297,268,231,185,155,92
1969,37,31,143,191,263,293,310,306,226,213,121,93
1970,67,94,97,188,247,266,302,290,225,193,147,93
1971,69,62,131,182,260,267,321,286,230,186,144,82
1972,58,28,128,196,243,302,288,288,236,193,146,80
1973,52,94,147,207,222,290,291,299,238,181,162,104
1974,37,53,124,226,247,288,307,274,241,173,126,35
1975,79,92,140,183,224,285,300,292,225,175,122,54
1976,74,78,114,182,243,276,296,269,242,200,100,75
1977,23,98,163,200,228,294,297,279,249,217,130,88
1978,81,75,121,230,251,297,293,305,257,211,120,99
1979,84,129,133,187,227,305,292,281,216,231,142,103
1980,58,69,105,199,250,274,278,265,243,194,169,102
1981,45,84,152,203,265,295,297,271,226,160,99,83
1982,82,65,129,192,260,279,285,257,215,207,120,81
1983,68,89,123,196,241,264,278,273,241,172,154,86
1984,44,47,138,196,229,268,269,282,204,198,127,37
1985,59,66,97,216,227,275,312,293,211,180,142,63
1986,77,80,132,199,268,286,298,293,253,191,124,77
1987,94,100,115,205,236,252,295,300,263,208,137,117
1988,82,63,98,210,243,306,293,271,242,181,172,86
1989,32,47,116,191,238,273,281,257,236,212,117,100
1990,39,54,133,187,244,280,306,297,260,198,171,93
1991,65,83,119,195,217,278,315,284,249,209,153,77
1992,81,104,103,222,240,275,311,289,217,181,145,90
1993,45,102,123,211,215,280,284,267,251,194,121,82
1994,87,78,132,202,276,281,303,302,241,191,152,86
1995,68,98,154,201,267,308,320,278,246,188,158,84
1996,59,85,115,178,236,274,290,278,237,200,106,124
1997,78,89,133,193,255,290,301,325,249,222,128,85
1998,50,95,126,224,224,290,307,282,271,219,188,124
1999,101,132,128,220,244,274,295,294,260,183,145,105
2000,38,84,169,230,284,278,297,276,238,169,126,110
2001,58,97,173,199,271,297,312,281,237,192,148,43
2002,104,120,169,202,223,295,308,290,251,213,157,64
2003,80,101,125,200,239,290,288,261,243,185,116,84
2004,62,129,163,240,253,286,299,267,239,192,156,75
2005,58,52,152,240,242,316,293,264,244,188,164,71
2006,58,97,181,227,259,312,302,296,229,230,151,88
2007,80,133,142,220,288,286,279,286,239,187,158,81
