Year,1,2,3,4,5,6,7,8,9,10,11,12
1958,-15,24,83,129,168,221,243,216,180,115,59,28
1959,-13,15,77,141,159,221,261,248,181,145,60,6
1960,6,52,77,119,165,236,235,221,182,119,62,8
1961,-1,33,71,144,181,227,255,237,180,122,78,13
1962,-16,30,77,125,183,222,252,222,175,127,50,24
1963,-12,16,72,104,166,222,242,227,173,130,73,25
1964,-8,-40,68,125,164,219,242,232,171,125,72,15
1965,8,19,59,112,184,226,238,217,181,129,78,9
1966,10,51,77,128,172,233,256,239,167,124,75,-8
1967,-6,5,64,115,182,230,239,255,168,124,34,-22
1968,-14,-7,81,129,168,236,237,216,177,115,85,32
1969,-27,-32,71,124,193,225,249,237,175,142,52,8
1970,-11,28,42,118,181,202,244,236,170,122,70,21
1971,-4,2,60,122,182,207,261,230,175,120,69,10
1972,-6,-17,66,128,174,229,232,227,168,123,77,18
1973,-7,33,83,140,165,224,234,241,178,123,80,18
1974,-20,-6,58,152,182,223,242,220,181,117,68,-5
1975,8,26,77,128,167,223,244,238,186,128,65,-7
1976,-2,22,58,114,180,214,236,220,181,134,38,8
1977,-38,22,92,140,168,222,244,222,182,140,66,25
1978,2,11,62,149,185,227,241,241,185,135,66,27
1979,8,46,67,121,161,231,238,232,165,140,63,34
1980,-8,6,48,129,181,214,230,217,178,130,94,19
1981,-17,21,87,136,186,228,246,226,174,102,45,8
1982,6,18,66,124,189,212,230,211,168,141,67,11
1983,-8,12,60,132,176,208,228,218,187,124,75,17
1984,-23,-9,65,134,169,211,222,226,159,125,75,-12
1985,-11,5,43,139,171,211,243,237,161,118,66,-5
1986,3,9,64,134,188,223,233,225,173,113,58,12
1987,16,28,49,127,173,197,233,231,182,135,66,24
1988,6,2,38,132,179,232,239,218,176,123,78,16
1989,-17,-3,55,128,167,208,228,212,175,130,58,22
1990,-14,8,65,119,172,211,246,230,186,129,88,15
1991,0,20,54,124,158,214,249,220,177,122,64,8
1992,1,25,48,143,171,208,243,226,168,106,60,17
1993,-18,39,64,136,152,211,230,213,177,117,49,7
1994,10,16,60,134,194,216,243,240,171,116,80,25
1995,-2,26,73,128,192,231,252,227,183,127,72,15
1996,-4,11,52,117,168,212,234,222,178,127,52,30
1997,0,28,76,128,185,214,240,247,172,130,59,18
1998,-11,31,62,152,165,221,250,227,194,141,95,37
1999,21,48,68,147,178,216,235,228,199,125,73,16
2000,-18,16,93,149,199,214,239,218,177,122,60,32
2001,-8,29,91,123,188,223,245,217,179,131,69,-8
2002,25,49,95,131,162,229,244,225,179,127,67,4
2003,0,35,62,132,176,215,231,219,185,118,58,17
2004,-2,48,91,155,177,214,238,216,175,118,72,15
2005,-10,-6,71,157,181,234,242,215,185,125,88,-3
2006,-4,27,97,148,188,237,247,238,171,153,81,19
2007,9,56,82,143,209,220,226,231,174,128,76,22
