Year,1,2,3,4,5,6,7,8,9,10,11,12
1958,-57,-36,24,85,113,170,210,182,131,68,22,-20
1959,-53,-16,30,82,111,169,209,202,127,90,20,-25
1960,-41,-8,34,61,105,176,197,182,135,74,20,-37
1961,-47,-18,27,85,115,181,208,195,136,95,43,-27
1962,-66,-20,15,69,119,165,207,182,129,87,19,-22
1963,-68,-45,21,65,123,163,197,196,144,75,31,-22
1964,-39,-69,25,95,119,157,207,192,149,103,29,-25
1965,-34,-20,8,62,117,157,199,174,126,84,37,-38
1966,-39,-5,25,74,124,170,205,192,117,76,26,-48
1967,-56,-34,16,69,130,166,197,212,130,72,2,-65
1968,-56,-51,24,63,110,165,192,180,140,70,42,-2
1969,-62,-70,22,70,132,164,200,182,142,94,6,-45
1970,-60,-17,3,64,125,151,200,198,129,74,20,-22
1971,-53,-33,11,73,114,157,214,192,137,78,23,-36
1972,-44,-44,26,70,117,165,189,183,116,72,31,-24
1973,-45,-4,38,88,119,171,194,193,131,79,23,-42
1974,-57,-46,10,90,122,165,194,180,135,82,33,-29
1975,-38,-18,29,82,114,168,201,195,159,95,27,-48
1976,-52,-18,12,60,122,157,192,188,138,90,-5,-35
1977,-81,-34,37,92,118,163,203,181,134,88,19,-17
1978,-52,-33,16,80,118,166,204,189,130,76,28,-24
1979,-43,-15,12,67,95,160,196,197,127,74,4,-11
1980,-47,-39,3,65,113,162,184,177,127,83,39,-36
1981,-59,-22,33,76,108,164,205,190,133,59,6,-46
1982,-45,-16,15,62,119,147,186,177,130,93,29,-39
1983,-61,-46,9,73,115,159,184,177,144,88,20,-33
1984,-70,-48,12,82,115,161,184,185,127,73,41,-45
1985,-55,-33,1,71,123,160,189,198,128,74,11,-48
1986,-45,-41,10,77,113,168,185,174,117,58,13,-35
1987,-39,-24,2,63,119,148,185,178,124,85,17,-35
1988,-45,-39,-8,64,123,166,204,182,127,82,11,-35
1989,-54,-43,4,74,105,153,185,179,130,74,19,-27
1990,-52,-24,10,63,112,152,196,174,132,80,33,-36
1991,-43,-22,6,61,104,156,194,169,121,57,1,-41
1992,-52,-39,3,75,112,146,183,180,129,54,0,-31
1993,-60,-6,17,69,100,153,189,173,125,63,1,-45
1994,-44,-30,1,77,120,162,199,190,122,62,33,-13
1995,-47,-30,9,63,120,164,203,191,140,85,11,-32
1996,-49,-43,0,62,109,158,197,186,136,76,13,-30
1997,-51,-18,30,72,125,150,190,185,113,62,11,-28
1998,-53,-15,10,91,109,159,206,184,138,84,31,-22
1999,-39,-17,19,84,116,162,182,177,153,80,21,-47
2000,-58,-36,27,77,126,165,200,175,134,91,16,-15
2001,-48,-13,30,64,121,169,193,179,141,91,15,-39
2002,-24,-3,37,70,110,175,197,184,132,71,11,-30
2003,-49,-9,14,76,123,157,191,192,145,71,17,-28
2004,-46,-13,35,87,113,157,194,185,131,69,18,-22
2005,-52,-42,14,86,128,170,207,183,149,84,37,-49
2006,-43,-15,34,85,128,172,212,203,132,104,36,-21
2007,-35,5,37,78,142,166,188,195,131,91,23,-15
