Year,1,2,3,4,5,6,7,8,9,10,11,12
1958,58,2,400,1034,1279,1420,4752,1960,833,845,592,194
1959,101,305,527,182,846,1669,1878,1423,483,565,291,165
1960,29,116,561,654,254,505,2577,1237,1158,539,221,163
1961,75,13,423,546,864,1461,567,927,2080,1118,443,36
1962,106,244,19,575,193,886,1498,2424,997,739,737,55
1963,0,7,247,587,1422,754,1257,1841,985,307,337,97
1964,139,206,366,1568,2013,438,3046,1511,2521,1878,80,95
1965,58,116,391,1178,407,176,3682,2300,222,832,519,58
1966,37,198,418,1017,392,442,1994,914,431,601,184,49
1967,31,255,1057,1073,546,1148,2595,1695,1685,216,667,0
1968,117,11,144,489,896,273,1208,1767,2743,666,416,102
1969,173,274,136,1113,362,277,905,792,1664,99,182,0
1970,18,154,180,1109,897,1219,1877,1103,1443,634,162,57
1971,259,153,229,813,713,2336,1019,1703,596,1433,792,74
1972,83,138,688,230,768,509,1360,836,768,657,344,25
1973,186,86,332,1054,985,220,2828,517,613,371,108,0
1974,144,207,448,346,1060,788,756,1405,627,1446,218,266
1975,9,132,55,1193,460,487,1179,2590,2139,850,116,245
1976,6,443,116,499,533,370,1958,688,786,340,333,35
1977,58,0,269,1065,483,588,2058,1456,338,1125,234,91
1978,14,71,256,307,698,966,2783,461,424,326,374,25
1979,172,192,458,668,549,1294,1960,2299,1625,13,154,249
1980,184,43,298,513,1213,1502,2002,1449,590,1055,141,19
1981,173,166,567,497,105,1439,1759,1767,910,178,371,42
1982,109,56,613,298,829,667,2621,1684,827,217,266,14
1983,41,40,239,787,1332,985,1943,1848,1501,2107,298,3
1984,90,32,52,541,1218,1146,2068,1238,3612,331,533,215
1985,34,97,161,371,2537,590,386,1205,1779,1456,113,60
1986,217,19,312,342,486,791,1571,958,1057,762,89,136
1987,6,152,471,419,1387,1697,723,1006,597,755,190,0
1988,3,151,513,476,883,161,1962,2134,597,780,26,80
1989,422,559,299,511,602,1000,1803,1480,698,216,347,359
1990,215,350,470,718,739,1947,1352,680,536,311,455,42
1991,83,123,502,438,982,880,821,707,569,109,224,215
1992,11,0,773,403,614,707,1335,1013,1138,503,129,180
1993,119,300,527,522,1800,1487,861,1477,445,143,859,6
1994,34,112,226,872,243,1986,2361,357,446,894,358,94
1995,39,8,255,368,247,248,1995,2829,354,1338,24,27
1996,75,65,138,646,691,1014,2193,1960,2204,1134,834,0
1997,128,314,590,380,929,639,1297,123,1061,221,440,10
1998,137,129,584,745,1976,377,2094,2873,131,236,49,44
1999,0,18,637,786,765,751,672,1136,683,1042,180,0
2000,78,87,18,126,450,3023,1821,1815,1035,935,136,61
2001,259,104,137,655,369,1123,2651,557,271,912,14,297
2002,92,88,160,523,1371,1907,889,831,701,519,54,153
2003,83,300,263,710,436,1057,893,2267,2389,1235,389,64
2004,31,424,205,139,898,337,2916,1626,1787,398,356,210
2005,9,75,91,745,668,1589,3127,2164,1457,1034,68,15
2006,210,295,221,707,809,1346,1480,556,1880,94,265,74
2007,4,270,748,50,699,744,3765,736,696,442,94,118
